code,label,label_en,parent_code,valid_from,valid_to
SA-SC,Aktiviteter gällande lärande och att tillämpa kunskap,,,,
SA1,Lärande och att tillämpa kunskap,,SA-SC,,
SA1.AA.ZZ,Bedömning av lärande och att tillämpa kunskap,,SA1,,
SA1.AC.ZZ,Manualbaserat test eller samtal om lärande och att tillämpa kunskap,,SA1,,
SA1.AM.ZZ,Observation av lärande och att tillämpa kunskap,,SA1,,
SA1.AS.ZZ,Utredande samtal om lärande och att tillämpa kunskap,,SA1,,
SA1.AT.ZZ,"Inhämtning av uppgifter, från professionell, om lärande och att tillämpa kunskap",,SA1,,
SA1.AU.ZZ,"Inhämtning av uppgifter, från annan, om lärande och att tillämpa kunskap",,SA1,,
SA1.AV.ZZ,Uppföljande samtal om lärande och att tillämpa kunskap,,SA1,,
SA1.AX.ZZ,Annan specificerad utredande eller uppföljande aktivitet om lärande och att tillämpa kunskap,,SA1,,
SA1.AZ.ZZ,"Utredande eller uppföljande aktivitet om lärande och att tillämpa kunskap, ospecificerad",,SA1,,
SA1.PH.ZZ,Färdighetsträning i lärande och att tillämpa kunskap,,SA1,,
SA1.PN.ZZ,Råd eller information om lärande och att tillämpa kunskap,,SA1,,
SA1.PU.ZZ,Stödjande samtal om lärande och att tillämpa kunskap,,SA1,,
SA1.PV.ZZ,Behandlande samtal om lärande och att tillämpa kunskap,,SA1,,
SA1.RB.ZZ,Praktiskt stöd i lärande och att tillämpa kunskap,,SA1,,
SA1.RC.ZZ,Emotionellt stöd i lärande och att tillämpa kunskap,,SA1,,
SA1.SX.ZZ,Annan specificerad individstödjande aktivitet om lärande och att tillämpa kunskap,,SA1,,
SA1.SZ.ZZ,Stöd inom lärande och att tillämpa kunskap,,SA1,,
SA2,Målinriktade sinnesupplevelser,,SA-SC,,
SA2.AA.ZZ,Bedömning av målinriktade sinnesupplevelser,,SA2,,
SA2.AS.ZZ,Utredande samtal om målinriktade sinnesupplevelser,,SA2,,
SA2.AT.ZZ,"Inhämtning av uppgifter, från professionell, om målinriktade sinnesupplevelser",,SA2,,
SA2.AU.ZZ,"Inhämtning av uppgifter, från annan, om målinriktade sinnesupplevelser",,SA2,,
SA2.AV.ZZ,Uppföljande samtal om målinriktade sinnesupplevelser,,SA2,,
SA2.RB.ZZ,Praktiskt stöd i målinriktade sinnesupplevelser,,SA2,,
SA2.RC.ZZ,Emotionellt stöd i målinriktade sinnesupplevelser,,SA2,,
SA2.SZ.ZZ,Stöd i målinriktade sinnesupplevelser,,SA2,,
SB2,Grundläggande lärande,,SA-SC,,
SB2.AA.ZZ,Bedömning av grundläggande lärande,,SB2,,
SB2.AM.ZZ,Observation av grundläggande lärande,,SB2,,
SB2.AS.ZZ,Utredande samtal om grundläggande lärande,,SB2,,
SB2.AT.ZZ,"Inhämtning av uppgifter, från professionell, om grundläggande lärande",,SB2,,
SB2.AU.ZZ,"Inhämtning av uppgifter, från annan, om grundläggande lärande",,SB2,,
SB2.AV.ZZ,Uppföljande samtal om grundläggande lärande,,SB2,,
SB2.PH.ZZ,Färdighetsträning i grundläggande lärande,,SB2,,
SB2.PN.ZZ,Råd eller information om grundläggande lärande,,SB2,,
SB2.PU.ZZ,Stödjande samtal om grundläggande lärande,,SB2,,
SB2.RB.ZZ,Praktiskt stöd i grundläggande lärande,,SB2,,
SB2.RC.ZZ,Emotionellt stöd i grundläggande lärande,,SB2,,
SB2.SZ.ZZ,Stöd i grundläggande lärande,,SB2,,
SBH,Att ta reda på information,,SA-SC,,
SBH.AA.ZZ,Bedömning av att ta reda på information,,SBH,,
SBH.AM.ZZ,Observation av att ta reda på information,,SBH,,
SBH.AS.ZZ,Utredande samtal om att ta reda på information,,SBH,,
SBH.AT.ZZ,"Inhämtning av uppgifter, från professionell, om att ta reda på information",,SBH,,
SBH.AU.ZZ,"Inhämtning av uppgifter, från annan, om att ta reda på information",,SBH,,
SBH.AV.ZZ,Uppföljande samtal om att ta reda på information,,SBH,,
SBH.PH.ZZ,Färdighetsträning i att ta reda på information,,SBH,,
SBH.PN.ZZ,Råd eller information om att ta reda på information,,SBH,,
SBH.RB.ZZ,Praktiskt stöd i att ta reda på information,,SBH,,
SBH.RC.ZZ,Emotionellt stöd i att ta reda på information,,SBH,,
SBH.SZ.ZZ,Stöd i att ta reda på information,,SBH,,
SBQ,Att förvärva färdigheter,,SA-SC,,
SBQ.AA.ZZ,Bedömning av att förvärva färdigheter,,SBQ,,
SBQ.AM.ZZ,Observation av att förvärva färdigheter,,SBQ,,
SBQ.AS.ZZ,Utredande samtal om att förvärva färdigheter,,SBQ,,
SBQ.AT.ZZ,"Inhämtning av uppgifter, från professionell, om att förvärva färdigheter",,SBQ,,
SBQ.AU.ZZ,"Inhämtning av uppgifter, från annan, om att förvärva färdigheter",,SBQ,,
SBQ.AV.ZZ,Uppföljande samtal om att förvärva färdigheter,,SBQ,,
SBQ.PH.ZZ,Färdighetsträning i att förvärva färdigheter,,SBQ,,
SBQ.PN.ZZ,Råd eller information om att förvärva färdigheter,,SBQ,,
